0.1485558,0,_,_,_,0.02,				RECORDED AT FRAME:5
0.5724257,0,_,_,_,0.02,				RECORDED AT FRAME:238
0.5724257,0,_,_,_,0.02,				RECORDED AT FRAME:238
0.4763404,0,_,_,_,0.02,				RECORDED AT FRAME:239
0.3978907,0,_,_,_,0.02,				RECORDED AT FRAME:240
0.3399245,0,_,_,_,0.02,				RECORDED AT FRAME:241
0.3399245,0,_,_,_,0.02,				RECORDED AT FRAME:241
0.2578232,0,_,_,Attack,0.02,				RECORDED AT FRAME:242
0.1646262,0,_,_,_,0.02,				RECORDED AT FRAME:243
0.1005017,0,_,_,_,0.02,				RECORDED AT FRAME:244
0.1005017,0,_,_,_,0.02,				RECORDED AT FRAME:244
0.01693911,0,_,_,_,0.02,				RECORDED AT FRAME:245
0.05272531,0,_,_,_,0.02,				RECORDED AT FRAME:258
0.1080853,0,_,_,_,0.02,				RECORDED AT FRAME:259
0.1690559,0,_,_,_,0.02,				RECORDED AT FRAME:260
0.1690559,0,_,_,_,0.02,				RECORDED AT FRAME:260
0.2524965,0,_,_,_,0.02,				RECORDED AT FRAME:261
0.3554381,0,_,_,_,0.02,				RECORDED AT FRAME:262
0.4109415,0,_,_,_,0.02,				RECORDED AT FRAME:263
0.4109415,0,_,_,_,0.02,				RECORDED AT FRAME:263
0.486945,0,_,_,_,0.02,				RECORDED AT FRAME:264
0.5637521,0,_,_,_,0.02,				RECORDED AT FRAME:265
0.6191677,0,_,_,_,0.02,				RECORDED AT FRAME:266
0.7049419,0,_,_,_,0.02,				RECORDED AT FRAME:267
0.7789378,0,_,_,_,0.02,				RECORDED AT FRAME:268
0.7789378,0,_,_,_,0.02,				RECORDED AT FRAME:268
0.8464589,0,_,_,_,0.02,				RECORDED AT FRAME:269
0.921551,0,_,_,_,0.02,				RECORDED AT FRAME:270
0.9847084,0,_,_,_,0.02,				RECORDED AT FRAME:271
1,0,_,_,_,0.02,				RECORDED AT FRAME:272
1,0,_,_,_,0.02,				RECORDED AT FRAME:273
1,0,_,_,_,0.02,				RECORDED AT FRAME:273
1,0,_,_,_,0.02,				RECORDED AT FRAME:274
1,0,_,_,_,0.02,				RECORDED AT FRAME:275
1,0,_,_,_,0.02,				RECORDED AT FRAME:276
1,0,_,_,_,0.02,				RECORDED AT FRAME:277
1,0,_,_,_,0.02,				RECORDED AT FRAME:278
1,0,_,_,_,0.02,				RECORDED AT FRAME:279
1,0,_,_,_,0.02,				RECORDED AT FRAME:280
1,0,_,_,_,0.02,				RECORDED AT FRAME:280
1,0,_,_,_,0.02,				RECORDED AT FRAME:281
1,0,_,_,_,0.02,				RECORDED AT FRAME:282
1,0,_,_,_,0.02,				RECORDED AT FRAME:283
1,0,_,_,_,0.02,				RECORDED AT FRAME:283
1,0,_,_,_,0.02,				RECORDED AT FRAME:284
1,0,_,_,_,0.02,				RECORDED AT FRAME:285
1,0,_,_,_,0.02,				RECORDED AT FRAME:286
1,0,_,_,_,0.02,				RECORDED AT FRAME:286
1,0,_,_,_,0.02,				RECORDED AT FRAME:287
1,0,_,_,_,0.02,				RECORDED AT FRAME:287
1,0,Jump,_,_,0.02,				RECORDED AT FRAME:288
1,0,_,_,_,0.02,				RECORDED AT FRAME:289
1,0,_,_,_,0.02,				RECORDED AT FRAME:290
1,0,_,_,_,0.02,				RECORDED AT FRAME:291
1,0,_,_,_,0.02,				RECORDED AT FRAME:291
1,0,_,_,_,0.02,				RECORDED AT FRAME:292
1,0,_,_,_,0.02,				RECORDED AT FRAME:293
1,0,_,_,_,0.02,				RECORDED AT FRAME:294
1,0,_,_,_,0.02,				RECORDED AT FRAME:295
1,0,_,_,_,0.02,				RECORDED AT FRAME:295
1,0,_,_,_,0.02,				RECORDED AT FRAME:296
1,0,_,_,_,0.02,				RECORDED AT FRAME:297
1,0,_,_,_,0.02,				RECORDED AT FRAME:298
1,0,_,_,_,0.02,				RECORDED AT FRAME:299
1,0,_,_,_,0.02,				RECORDED AT FRAME:299
1,0,_,_,_,0.02,				RECORDED AT FRAME:300
1,0,_,_,_,0.02,				RECORDED AT FRAME:301
1,0,_,_,_,0.02,				RECORDED AT FRAME:302
1,0,_,_,_,0.02,				RECORDED AT FRAME:303
1,0,_,_,_,0.02,				RECORDED AT FRAME:304
1,0,_,_,_,0.02,				RECORDED AT FRAME:304
1,0,_,_,_,0.02,				RECORDED AT FRAME:305
1,0,_,_,_,0.02,				RECORDED AT FRAME:305
1,0,_,_,_,0.02,				RECORDED AT FRAME:305
1,0,_,_,_,0.02,				RECORDED AT FRAME:305
1,0,_,_,_,0.02,				RECORDED AT FRAME:305
1,0,_,_,_,0.02,				RECORDED AT FRAME:306
1,0,_,_,_,0.02,				RECORDED AT FRAME:306
1,0,_,_,_,0.02,				RECORDED AT FRAME:307
1,0,_,_,_,0.02,				RECORDED AT FRAME:308
1,0,_,_,_,0.02,				RECORDED AT FRAME:308
1,0,_,_,_,0.02,				RECORDED AT FRAME:309
1,0,_,_,_,0.02,				RECORDED AT FRAME:310
1,0,_,_,_,0.02,				RECORDED AT FRAME:311
1,0,_,_,_,0.02,				RECORDED AT FRAME:312
1,0,_,_,_,0.02,				RECORDED AT FRAME:313
1,0,_,_,_,0.02,				RECORDED AT FRAME:313
1,0,_,_,_,0.02,				RECORDED AT FRAME:313
1,0,_,_,_,0.02,				RECORDED AT FRAME:313
1,0,_,_,_,0.02,				RECORDED AT FRAME:314
1,0,_,_,_,0.02,				RECORDED AT FRAME:314
1,0,_,_,_,0.02,				RECORDED AT FRAME:314
1,0,_,_,_,0.02,				RECORDED AT FRAME:314
1,0,_,_,_,0.02,				RECORDED AT FRAME:314
0.6885442,0,_,_,_,0.02,				RECORDED AT FRAME:315
0.6885442,0,_,_,_,0.02,				RECORDED AT FRAME:315
0.6885442,0,_,_,_,0.02,				RECORDED AT FRAME:315
0.6885442,0,_,_,_,0.02,				RECORDED AT FRAME:315
0.488325,0,_,_,_,0.02,				RECORDED AT FRAME:316
0.488325,0,_,_,_,0.02,				RECORDED AT FRAME:316
0.3305769,0,_,_,_,0.02,				RECORDED AT FRAME:317
0.3305769,0,_,_,_,0.02,				RECORDED AT FRAME:317
0.2333112,0,_,_,_,0.02,				RECORDED AT FRAME:318
0.2333112,0,_,_,_,0.02,				RECORDED AT FRAME:318
0.1294724,0,_,_,_,0.02,				RECORDED AT FRAME:319
0.03195658,0,_,_,_,0.02,				RECORDED AT FRAME:320
0.03195658,0,_,_,_,0.02,				RECORDED AT FRAME:320
